processid,sampleid,recordID,catalognum,fieldnum,institution_storing,collection_code,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,identification_method,identification_reference,tax_note,voucher_status,tissue_type,collection_event_id,collectors,collectiondate_start,collectiondate_end,collectiontime,collection_note,site_code,sampling_protocol,lifestage,sex,reproduction,habitat,associated_specimens,associated_taxa,extrainfo,notes,lat,lon,coord_source,coord_accuracy,elev,depth,elev_accuracy,depth_accuracy,country,province_state,region,sector,exactsite,image_ids,image_urls,media_descriptors,captions,copyright_holders,copyright_years,copyright_licenses,copyright_institutions,photographers
GBMA28915-19,MG883635,9796585,,,"Mined from GenBank, NCBI",,BOLD:AAC0192,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,741552,Urocitellus,741553,Urocitellus undulatus,,,,,,,,,,,,,,,,,,,,,,,,,47.0864,103.399,Coordinates from country centroid,,,,,,Mongolia,,,,,,,,,,,,,
GBMA28918-19,MG883638,9796588,,,"Mined from GenBank, NCBI",,BOLD:AAC0192,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,741552,Urocitellus,741553,Urocitellus undulatus,,,,,,,,,,,,,,,,,,,,,,,,,47.0864,103.399,Coordinates from country centroid,,,,,,Mongolia,,,,,,,,,,,,,
GBMA28934-19,MG883654,9796604,,,"Mined from GenBank, NCBI",,BOLD:AAC0192,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,741552,Urocitellus,741553,Urocitellus undulatus,,,,,,,,,,,,,,,,,,,,,,,,,47.0864,103.399,Coordinates from country centroid,,,,,,Mongolia,,,,,,,,,,,,,
GBMA28947-19,MG883543,9796617,,,"Mined from GenBank, NCBI",,BOLD:AAC0193,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,741552,Urocitellus,741553,Urocitellus undulatus,,,,,,,,,,,,,,,,,,,,,,,,,47.0864,103.399,Coordinates from country centroid,,,,,,Mongolia,,,,,,,,,,,,,
GBMA3179-12,HM031934,2941857,,HM031934,"Mined from GenBank, NCBI",,BOLD:ACB3872,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,73335,Callosciurinae,4703,Callosciurus,12327,Callosciurus erythraeus,,,,,"Pallas, 1779",,,,,,,,,,,,,,,,,,,Callosciurus erythraeus,,,,,,,,,,,,,,,,,,,,,,
GBMA3264-12,HM031935,2941942,,HM031935,"Mined from GenBank, NCBI",,BOLD:ACB3872,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,73335,Callosciurinae,4703,Callosciurus,12327,Callosciurus erythraeus,,,,,"Pallas, 1779",,,,,,,,,,,,,,,,,,,Callosciurus erythraeus,,,,,,,,,,,,,,,,,,,,,,
GBMA5701-13,JX426128,3630885,JX426128,JX426128,"Mined from GenBank, NCBI",,,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,666114,Heliosciurus,666115,Heliosciurus gambianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBMA6234-13,JQ043548,3639194,JQ043548,JQ043548,"Mined from GenBank, NCBI",,BOLD:ACH6407,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,4766,Sciurinae,102057,Pteromys,110992,Pteromys volans,,,,,"Linnaeus, 1758",,,,,,,,,,,,,,,,,,,,,,,,,,,,China,Qinghai,Qinghai,,,,,,,,,,,
GBMA8083-15,KF856216,5647646,,KF856216,"Mined from GenBank, NCBI",,BOLD:ACJ4773,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,73335,Callosciurinae,4703,Callosciurus,681807,Callosciurus sp. 1 MG2013,,,,,,,,,,,,,,,,,,,,,,,taxon:1424282,,,,,,,,,,Argentina,Buenos Aires,"Escobar,Buenos Aires",,,,,,,,,,,
GBMA8096-15,KF856229,5647659,,KF856229,"Mined from GenBank, NCBI",,BOLD:ACJ4773,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,73335,Callosciurinae,4703,Callosciurus,681807,Callosciurus sp. 1 MG2013,,,,,,,,,,,,,,,,,,,,,,,taxon:1424282,,-35.6973,-64.5324,Coordinates from country centroid,,,,,,Argentina,,"La Cumbrecita,Cordoba",,,,,,,,,,,
